PageWorks,PageActivity,PageToday,PageCalendar,PageAnn,Year,Name,Title,Role,WorksType,DateStart,DateEnd,Weekday,DateAdd,DateDelete,URL
,,,,,,,UWASA,主演,映画,,,,,,https://h2col.notion.site/26a8a08476c7809f893df69ad365ec6a
,,,,,2026,乃木憂助 & F,VIVANT劇場版,主演,映画,,,,,,https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
,,,,,2026,乃木憂助 & F,VIVANT III,主演,TV,,,,,,https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
Y,,,,,2026,乃木憂助 & F,VIVANT続編,主演,TV,,,,,,https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
Y,Y,Y,Y,Y,2025,青砥健将,平場の月,主演,映画,2025/11/14,2025/11/14,Film,,,https://h2col.notion.site/1b78a08476c780a18f18f2cbb4d3084a
Y,Y,Y,Y,Y,2024,飯島雅之,The Gospellers 東京スヰート 30th Anniversary Edition,,その他,2024/12/19,2024/12/19,,,,https://h2col.notion.site/1608a08476c780bcb962ccbfc7826245
Y,Y,Y,Y,Y,2024,Mack Mallard,FLY! / フライ! (吹き替え-劇場アニメ),主演,声の出演,2024/3/15,2024/3/15,,,,https://h2col.notion.site/1b68a08476c78020a86ac782764b09eb
Y,Y,Y,Y,Y,2023,乃木憂助 & F,VIVANT,主演,TV,2023/7/16,2023/9/17,7,,,https://h2col.notion.site/1b68a08476c780e78f0fe8e8e8441e1b
Y,Y,Y,Y,Y,2022,鳴海慧,Dr.コトー診療所 劇場版,,映画,2022/12/16,2022/12/16,,,,https://h2col.notion.site/1b68a08476c780cd962ee51ea9b91b7e
Y,Y,Y,Y,Y,2022,絹咲正,ダマせない男,主演,TV,2022/3/26,2022/3/26,,,,https://h2col.notion.site/1b68a08476c78032a216e6e2c4cbd623
Y,Y,Y,Y,Y,2020,半沢直樹,半沢直樹 2,主演,TV,2020/7/19,2020/9/27,7,,2020-09-06,https://h2col.notion.site/1b68a08476c7804dba68d1ae0ae9e9cc
Y,Y,Y,Y,Y,2020,半沢直樹,半沢直樹II・エピソードゼロ 狙われた半沢直樹のパスワード,,TV,2020/1/3,2020/1/3,,,,https://h2col.notion.site/1b68a08476c7804dba68d1ae0ae9e9cc
Y,Y,Y,Y,Y,2019,Kray Foresight,プロメア (劇場アニメ),,声の出演,2019/5/24,2019/5/24,,,,https://h2col.notion.site/1b68a08476c7806f96dbff3b7a137c94
Y,Y,Y,Y,Y,2018,Christopher Robin,プーと大人になった僕 (吹き替え-映画),主演,声の出演,2018/9/14,2018/9/14,,,,https://h2col.notion.site/1b68a08476c780c39eb1cf7b5091497a
Y,Y,Y,Y,Y,2018,江蓮修二郎,北の桜守,,映画,2018/3/10,2018/3/10,,,,https://h2col.notion.site/1b68a08476c7802292e6f190e02ee533
Y,Y,Y,Y,Y,2017,一色正和,DESTINY 鎌倉ものがたり,主演,映画,2017/12/9,2017/12/9,,,,https://h2col.notion.site/1b68a08476c78079bfebfb4b5dbc7d60
Y,Y,Y,Y,Y,2016,真田信繁,真田丸,主演,TV,2016/1/10,2016/12/18,7,,,https://h2col.notion.site/1b68a08476c780f892f9c5a7a152a444
Y,Y,Y,Y,Y,2015,日野倫太郎,Dr.倫太郎,主演,TV,2015/4/15,2015/6/17,3,,,https://h2col.notion.site/1b68a08476c78065b279cacbf06eff6c
Y,Y,Y,Y,Y,2014,古美門研介,リーガルハイ・スペシャル,主演,TV,2014/11/22,2014/11/22,,,,https://h2col.notion.site/1b68a08476c78029b5c6fcbb92019071
Y,Y,Y,Y,Y,2014,鈴木元,パンドラ〜永遠の命〜,主演,TV,2014/4/27,2014/4/27,,,,https://h2col.notion.site/1b68a08476c780679e52dfc1906256a2
Y,Y,Y,Y,Y,2013,古美門研介,リーガルハイ,主演,TV,2013/10/9,2013/12/18,3,,2013-12-04,https://h2col.notion.site/1b68a08476c78029b5c6fcbb92019071
Y,Y,Y,Y,Y,2013,,文・堺雅人2 すこやかな日々,,BOOK,2013/7/11,2013/7/11,,,,https://h2col.notion.site/1b78a08476c780599aaffcb53e712254
Y,Y,Y,Y,Y,2013,半沢直樹,半沢直樹,主演,TV,2013/7/7,2013/9/22,7,,"2013-07-21, 2013-08-18",https://h2col.notion.site/1b68a08476c7804dba68d1ae0ae9e9cc
Y,Y,Y,Y,Y,2013,古美門研介,リーガル・ハイ スペシャル,主演,TV,2013/4/13,2013/4/13,,,,https://h2col.notion.site/1b68a08476c78029b5c6fcbb92019071
Y,Y,Y,Y,Y,2013,神崎彰司,ひまわりと子犬の7日間,主演,映画,2013/3/16,2013/3/16,,,,https://h2col.notion.site/1b68a08476c78040a1a3ccab67e6a6ec
