Date,Works Type,Title,URL
2025/11/26,Event,『平場の月』大ヒット御礼舞台挨拶,https://h2col.notion.site/2ae8a08476c78060ab00e464a369ca29
2025/11/14,Event,『平場の月』初日舞台挨拶,https://h2col.notion.site/2a28a08476c78034a3b4e5916bd0b10c
2025/10/29,Event,『平場の月』完成披露試写会,https://h2col.notion.site/2888a08476c7807da3c5e600c2b46319
2025/8/20,Bangumi,エジプト 悠久の王国 謎の王ブラックファラオ,https://h2col.notion.site/2488a08476c7806eb5bfda2df52c79d0
2025/8/19,Bangumi,エジプト 悠久の王国 ピラミッドと王家の秘密,https://h2col.notion.site/1be8a08476c78092ad9cef87d39e1ff9
2025/6/11,Event,『VIVANT』続編発表直後記者会見,https://h2col.notion.site/20f8a08476c7800e8660e97bb49ababf
2025/5/22,Event,『平場の月』製作報告会見,https://h2col.notion.site/1fb8a08476c78026af61e34e45aa6a9e
2025/1/12,Event,宮崎市制100周年の記念トークイベント,https://h2col.notion.site/1228a08476c78083b55bcc065191a5ec
2024/3/31,Bangumi,"エジプト 悠久の王国
プロローグ ピラミッド透視とファラオの謎",https://h2col.notion.site/1be8a08476c780e18016e1fedaa8282f
2024/3/7,Event,『FLY！／フライ！』ジャパンプレミア舞台挨拶,https://h2col.notion.site/1678a08476c78066a5e4e98d5ab8bf9c
2024/3/5,Festival / Awards,第29回AMDアワード,https://h2col.notion.site/1548a08476c78090bcfad68b78b306c1
2024/3/1,Festival / Awards,TVerアワード2023＜特別賞＞,https://h2col.notion.site/15f8a08476c780fbaad5fa2d7e1d4f6c
2024/2/29,Event,「伊右衛門」戦略・新CM発表会,https://h2col.notion.site/19c8a08476c78072be7ff80267b0e991
2024/2/11,Event,「VIVANT」オンラインプレミアムトーク,https://h2col.notion.site/1228a08476c780c7abd8fc3186afcc1d
2024/2/8,Festival / Awards,エランドール賞,https://h2col.notion.site/15f8a08476c780968e63e2826e62fb47
2024/2/5,Event,『FLY！／フライ！』日本語吹替版キャスト報告会,https://h2col.notion.site/1678a08476c780e2ac17d83e2a608d85
2023/12/31,TV Shows,第74回NHK紅白歌合戦,https://h2col.notion.site/1228a08476c78043bad9e9afb22deb59
2023/9/10,TV Shows,日曜劇場「ＶＩＶＡＮＴ」祭り！第１部　緊急生放送ＳＰ,https://h2col.notion.site/1278a08476c7809685baedf5aa0ccff3
2023/1/8,Bangumi,超・進化論(3) 「すべては微生物から始まった〜見えないスーパーパワー〜」,https://h2col.notion.site/1bb8a08476c780018339fd2a17b02d0e
2023/1/7,Bangumi,生きもの“超・進化論”ワールド 〜キッズ&ティーンズ特別編〜,https://h2col.notion.site/1bb8a08476c780018339fd2a17b02d0e
2022/12/1,Event,「メルカード」新CM発表会,https://h2col.notion.site/19c8a08476c780ee96daf39c2de98f7f
2022/11/13,Bangumi,超・進化論 (2)「愛(いと)しき昆虫たち 〜最強の適応力〜」,https://h2col.notion.site/1bb8a08476c780018339fd2a17b02d0e
2022/11/6,Bangumi,超・進化論 (1)「植物からのメッセージ 〜地球を彩る驚異の世界〜」,https://h2col.notion.site/1bb8a08476c780018339fd2a17b02d0e
2022/10/27,Event,「NHKスペシャル　超・進化論」会見,https://h2col.notion.site/1848a08476c78078b0c8f7cb4aacf3ca
2021/4/21,Festival / Awards,第26回AMDアワード,https://h2col.notion.site/1548a08476c7804f9f47d330c5da4703
2021/3/24,Festival / Awards,第62回毎日芸術賞,https://h2col.notion.site/1548a08476c780459b04ccdee43c34d6
2021/3/8,Event,『そうだったのか！マイナンバーカード。』取得促進記者発表会,https://h2col.notion.site/19c8a08476c780d2967ff94e3f0f9d10
