DateStart,DateEnd,Weekday,Add,Date,Title,URL,Year,Role,WorksType
2025/11/14,2025/11/14,,,,平場の月,https://h2col.notion.site/1488a08476c780309c53c06b84e22e5d,2025,主演,映画
2024/12/19,2024/12/19,,,,The Gospellers 東京スヰート 30th Anniversary Edition,https://h2col.notion.site/The-Gospellers-30th-Anniversary-Edition-1608a08476c780bcb962ccbfc7826245,2024,,その他
2024/3/15,2024/3/15,,,,FLY! / フライ! (吹き替え-劇場アニメ),https://h2col.notion.site/FLY-5295442c8dd046c6838db75bacc4606f,2024,主演,声の出演
2023/7/16,2023/9/17,7,,,VIVANT,https://h2col.notion.site/VIVANT-dcb5030aca46476db7f8d3f7f5348067,2023,主演,TV
2022/12/16,2022/12/16,,,,Dr.コトー診療所 劇場版,https://h2col.notion.site/Dr-c55efc7be2bf4591a390ba76f8be16b1,2022,,映画
2022/3/26,2022/3/26,,,,ダマせない男,https://h2col.notion.site/ccfe75abc9034e63a64391fa9c1e2e9b,2022,主演,TV
2020/7/19,2020/9/27,7,,2020-09-06,半沢直樹 2,https://h2col.notion.site/2-16658dd6c78e46ff91bb3e2c19d4809a,2020,主演,TV
2020/1/3,2020/1/3,,,,半沢直樹II・エピソードゼロ 狙われた半沢直樹のパスワード,https://h2col.notion.site/II-e5532ac78f6b4a5ab49efcaadf9e9d35,2020,,TV
2019/5/24,2019/5/24,,,,プロメア (劇場アニメ),https://h2col.notion.site/08d7b1852a174d61a8f880760a67324e,2019,,声の出演
2018/9/14,2018/9/14,,,,プーと大人になった僕 (吹き替え-映画),https://h2col.notion.site/6a208d98e05e40df8d0a8afa07f2d715,2018,主演,声の出演
2018/3/10,2018/3/10,,,,北の桜守,https://h2col.notion.site/bb733dcfa49d4226a1ffee2dbaf039d6,2018,,映画
2017/12/9,2017/12/9,,,,DESTINY 鎌倉ものがたり,https://h2col.notion.site/DESTINY-8253003318194025ac8dd990a8c5daf4,2017,主演,映画
2016/1/10,2016/12/18,7,,,真田丸,https://h2col.notion.site/3928079318234e3585abb45b46d0ff9f,2016,主演,TV
2015/4/15,2015/6/17,3,,,Dr.倫太郎,https://h2col.notion.site/Dr-e8dca7555ed14bffab10d83937083077,2015,主演,TV
2014/11/22,2014/11/22,,,,リーガルハイ・スペシャル,https://h2col.notion.site/bd8a0518037d41729a3d73c0d5154833,2014,主演,TV
2014/4/27,2014/4/27,,,,パンドラ〜永遠の命〜,https://h2col.notion.site/395fab2abd2142a783b2d5d1242385d2,2014,主演,TV
2013/10/9,2013/12/18,3,,,リーガルハイ,https://h2col.notion.site/95c76392b76e4b3ba48b3a8fc6fe5d27,2013,主演,TV
2013/7/11,2013/7/11,,,,文・堺雅人2 すこやかな日々,https://h2col.notion.site/2-1228a08476c780c0877ffee19ae2e18d,2013,,BOOK
2013/7/7,2013/9/22,7,,,半沢直樹,https://h2col.notion.site/08012c281b7d48e9a036b42525eb3ba1,2013,主演,TV
2013/4/13,2013/4/13,,,,リーガル・ハイ スペシャル,https://h2col.notion.site/bb8014f9dea940a3849656e229b9bb4e,2013,主演,TV
2013/3/16,2013/3/16,,,,ひまわりと子犬の7日間,https://h2col.notion.site/7-418e5442f03b484695e30491fb81f2a4,2013,主演,映画
2012/12/22,2012/12/22,,,,大奥〜永遠〜［右衛門佐・綱吉篇］,https://h2col.notion.site/33b5f3928a7d4d189ce0bb0e2d9707b9,2012,主演,映画
2012/11/17,2012/11/17,,,,その夜の侍,https://h2col.notion.site/a1ba91a7f5cd4206b380f4e547872315,2012,主演,映画
2012/10/12,2012/12/14,5,,,大奥〜誕生［有功・家光篇］,https://h2col.notion.site/b6e49a8e241049aa9047795d1f323347,2012,主演,TV
2012/9/15,2012/9/15,,,,鍵泥棒のメソッド,https://h2col.notion.site/ae0b76bceb514311bc527687af04e2dc,2012,主演,映画
2012/4/17,2012/6/26,2,,,リーガル・ハイ,https://h2col.notion.site/d0ee71ed628b416086b83686ec6c3b64,2012,主演,TV
2011/10/16,2011/12/18,7,,,南極大陸,https://h2col.notion.site/fd19b4e60f804bc6aa70c8fc7ce75a97,2011,,TV
2011/10/8,2011/10/8,,,,ツレがうつになりまして。,https://h2col.notion.site/66202dfa6d254803a091469c5bbe5c8e,2011,,映画
2011/10/2,2011/11/13,7,,,塚原卜伝,https://h2col.notion.site/b168251ec2d7450b895d67bd853e6359,2011,主演,TV
2011/8/27,2011/8/27,,,,日輪の遺産,https://h2col.notion.site/19c599e6fe524113baabf01df69aefe0,2011,主演,映画
2011/8/6,2011/8/6,,,,行け!男子高校演劇部,https://h2col.notion.site/c3e53e50c5f64e3db6e77d5ae58bd90a,2011,,映画
2011/5/28,2011/5/28,,,,手塚治虫のブッダ -赤い砂漠よ!美しく- (劇場アニメ),https://h2col.notion.site/431c557d36e84e7d88902c56a3eca495,2011,,声の出演
2010/12/9,2010/12/9,,,,ニセ医者と呼ばれて 〜沖縄・最後の医介輔〜,https://h2col.notion.site/6c55516864f74f989cd7368557e3bf01,2010,主演,TV
2010/12/4,2010/12/4,,,,武士の家計簿,https://h2col.notion.site/2470d0e937104296bf2cc0c9bf35119f,2010,主演,映画
2010/9/10,2010/9/10,,,,ぼく、牧水! 歌人に学ぶ「まろび」の美学,https://h2col.notion.site/1228a08476c78092980becdc53465613,2010,,BOOK
2010/7/13,2010/9/21,2,,,ジョーカー 許されざる捜査官,https://h2col.notion.site/a073c302275e4e259acdc29502b294f6,2010,主演,TV
2010/1/30,2010/1/30,,,,ゴールデンスランバー,https://h2col.notion.site/4c9e71be1a5046a7ae5b926d2120cb5b,2010,主演,映画
2009/10/11,2009/12/27,7,,,青い文学シリーズ (テレビアニメ),https://h2col.notion.site/8e46e14400654a9e940582db28fcce99,2009,主演,声の出演
2009/10/10,2009/10/10,,,,クヒオ大佐,https://h2col.notion.site/53f732ec8c794917bfb49641f27ee992,2009,主演,映画
2009/9/30,2009/11/26,,,,蛮幽鬼,https://h2col.notion.site/5740223274ee4118b5f78d367055fa9c,2009,,舞台
2009/8/28,2009/8/28,,,,文・堺雅人,https://h2col.notion.site/1228a08476c78043b030cbb000cd970f,2009,,BOOK
2009/8/8,2009/8/8,,,,南極料理人,https://h2col.notion.site/6683a6eaa6f2463ea7065d763114f861,2009,主演,映画
2009/7/5,2009/9/20,7,,,官僚たちの夏,https://h2col.notion.site/b3f0ab9d35d04b85b84e99f655c1b6ca,2009,,TV
2009/6/13,2009/6/13,,,,ラッシュライフ（黒澤編）,https://h2col.notion.site/eb3e72c22d05453e9bb997874bac64b0,2009,主演,映画
2009/3/7,2009/3/7,,,,ジェネラル・ルージュの凱旋,https://h2col.notion.site/ca4af21682ae47d98ae389f11647f528,2009,,映画
2009/1/6,2009/3/17,2,,,トライアングル,https://h2col.notion.site/284a8ffa6bf94bc7ac3d3b271ca818a2,2009,,TV
2008/11/24,2008/11/24,,,,あるがままの君でいて,https://h2col.notion.site/1dada8f1170945d59b4087bf502463d6,2008,主演,TV
2008/9/6,2008/9/7,,,,氷の華,https://h2col.notion.site/8cbd24aae4d14c96be212b7f82c62978,2008,,TV
2008/7/19,2008/7/19,,,,ジャージの二人,https://h2col.notion.site/9dd2fa9abe57412b9e3f8a3afb142ea1,2008,主演,映画
2008/7/5,2008/7/5,,,,クライマーズ・ハイ,https://h2col.notion.site/cec2517c3d87439880831486ef053fd0,2008,,映画
2008/5/24,2008/5/24,,,,アフタースクール,https://h2col.notion.site/80a5682cfaa34a44b2c7cdf6504b3184,2008,,映画
2008/4/5,2008/9/27,6,,,恋愛新党,https://h2col.notion.site/5ae8c71769c5400988c7b87b2abc63a1,2008,主演,TV
2008/4/2,2008/4/2,,,,世にも奇妙な物語 春の特別編「フラッシュバック」,https://h2col.notion.site/452ed920db214f1f9b05f40c048175d0,2008,主演,TV
2008/3/19,2008/3/19,,,,やさぐれぱんだ〈金盤〉&〈銀盤〉,https://h2col.notion.site/1268a08476c780eab69cf89b001f3854,2008,主演,その他
2008/1/6,2008/7/13,7,2008-11-30,"2008-01-13, 2008-01-27, 2008-02-03, 2008-02-10, 2008-02-17, 2008-02-24, 2008-03-23, 2008-04-13",篤姫,https://h2col.notion.site/8bab3b69907f4bcb977e6ea6f520f5f0,2008,,TV
